condition,seed,eval_success_rate,eval_mean_steps_to_solve,eval_mean_ep_len,eval_mean_overloads_per_ep,eval_n_episodes,final_wm_kl_to_truth,final_wm_top1_acc,final_wm_coverage_5,final_success_rate,final_mean_overloads_per_ep,final_entropy,final_mean_int_reward_per_step
expected_info_gain,0,0.5166666666666667,216.8709677419355,402.05,75.9,60,0.01456207358986936,1.0,1.0,0.37,81.09,1.3255235254764557,0.0007298649870790541
expected_info_gain,1,0.3333333333333333,244.5,481.5,88.35,60,0.013646240341220101,1.0,1.0,0.31,87.18,1.328859120607376,0.00054381531663239
expected_info_gain,2,0.45,203.07407407407408,421.3833333333333,67.45,60,0.013803157969155573,1.0,1.0,0.31,90.39,1.312448412179947,0.000276831240626052
hybrid,0,0.016666666666666666,224.0,593.7333333333333,98.65,60,0.015652310574185927,1.0,1.0,0.12,103.09,1.3170287013053894,4.840595245361328
hybrid,1,0.15,369.55555555555554,565.4333333333333,107.15,60,0.01466564261708305,1.0,1.0,0.21,94.71,1.3083397448062897,5.05407190322876
hybrid,2,0.2,250.25,530.05,96.83333333333333,60,0.015054904710127381,1.0,1.0,0.19,101.34,1.34554785490036,5.097023010253906
info_gain,0,0.25,226.73333333333332,506.68333333333334,60.56666666666667,60,0.018503614579764377,1.0,1.0,0.36,62.65,1.3137172758579254,1.4121962976787472e-06
info_gain,1,0.26666666666666666,250.3125,506.75,68.26666666666667,60,0.022993361477472017,1.0,1.0,0.33,64.59,1.2838119864463806,4.855862698605051e-07
info_gain,2,0.16666666666666666,308.1,551.35,64.05,60,0.021079623830369425,1.0,1.0,0.28,71.09,1.190972775220871,1.8959109411298414e-06
novelty,0,0.26666666666666666,331.8125,528.4833333333333,100.96666666666667,60,0.01671902511130715,1.0,1.0,0.17,98.03,1.3543372750282288,11.6527099609375
novelty,1,0.21666666666666667,311.0769230769231,537.4,102.73333333333333,60,0.015417614676947435,1.0,1.0,0.12,95.72,1.3802456855773926,11.702497482299805
novelty,2,0.13333333333333333,278.0,557.0666666666667,107.73333333333333,60,0.01436027973196732,1.0,1.0,0.16,100.04,1.3814391195774078,11.693000793457031
random,0,0.3333333333333333,297.45,499.15,97.08333333333333,60,0.012084884234877061,1.0,1.0,0.2,107.59,1.3862943611198906,0.0
random,1,0.25,233.2,508.3,97.13333333333334,60,0.011561570567134171,1.0,1.0,0.23,106.58,1.3862943611198906,0.0
random,2,0.3,346.5,523.95,101.93333333333334,60,0.011340062397225133,1.0,1.0,0.25,101.8,1.3862943611198906,0.0
surprisal,0,0.2833333333333333,252.52941176470588,501.55,89.6,60,0.013369750533831447,1.0,1.0,0.44,84.94,1.2999287843704224,0.0014718911843374372
surprisal,1,0.5833333333333334,171.28571428571428,349.9166666666667,64.46666666666667,60,0.012510995328205975,1.0,1.0,0.68,64.93,1.2475853264331818,0.0016510990681126714
surprisal,2,0.4666666666666667,234.71428571428572,429.53333333333336,72.2,60,0.01326721454991429,1.0,1.0,0.52,75.77,1.1783158481121063,0.0024501048028469086
