context,state,action,outcome,mean_alpha
black+red,black,red,black,1.0
black+red,black,red,red,1899.7
black+red,black,red,green,1.0
black+red,black,red,blue,1.0
black+red,black,red,yellow,1.0
black+red,black,red,magenta,1.0
black+red,black,red,cyan,1.0
black+red,black,red,white,1.0
black+green,black,green,black,1.0
black+green,black,green,red,1.0
black+green,black,green,green,187.03333333333333
black+green,black,green,blue,1.0
black+green,black,green,yellow,1.0
black+green,black,green,magenta,1.0
black+green,black,green,cyan,1.0
black+green,black,green,white,1.0
black+blue,black,blue,black,1.0
black+blue,black,blue,red,1.0
black+blue,black,blue,green,1.0
black+blue,black,blue,blue,80.26666666666667
black+blue,black,blue,yellow,1.0
black+blue,black,blue,magenta,1.0
black+blue,black,blue,cyan,1.0
black+blue,black,blue,white,1.0
red+red,red,red,black,38.9
red+red,red,red,red,1.0
red+red,red,red,green,1.0
red+red,red,red,blue,1.0
red+red,red,red,yellow,1.0
red+red,red,red,magenta,1.0
red+red,red,red,cyan,1.0
red+red,red,red,white,1.0
red+green,red,green,black,1.0
red+green,red,green,red,1.0
red+green,red,green,green,1.0
red+green,red,green,blue,1.0
red+green,red,green,yellow,1697.0333333333333
red+green,red,green,magenta,1.0
red+green,red,green,cyan,1.0
red+green,red,green,white,1.0
red+blue,red,blue,black,1.0
red+blue,red,blue,red,1.0
red+blue,red,blue,green,1.0
red+blue,red,blue,blue,1.0
red+blue,red,blue,yellow,1.0
red+blue,red,blue,magenta,153.23333333333332
red+blue,red,blue,cyan,1.0
red+blue,red,blue,white,1.0
green+red,green,red,black,1.0
green+red,green,red,red,1.0
green+red,green,red,green,1.0
green+red,green,red,blue,1.0
green+red,green,red,yellow,124.26666666666667
green+red,green,red,magenta,1.0
green+red,green,red,cyan,1.0
green+red,green,red,white,1.0
green+green,green,green,black,31.333333333333332
green+green,green,green,red,1.0
green+green,green,green,green,1.0
green+green,green,green,blue,1.0
green+green,green,green,yellow,1.0
green+green,green,green,magenta,1.0
green+green,green,green,cyan,1.0
green+green,green,green,white,1.0
green+blue,green,blue,black,1.0
green+blue,green,blue,red,1.0
green+blue,green,blue,green,1.0
green+blue,green,blue,blue,1.0
green+blue,green,blue,yellow,1.0
green+blue,green,blue,magenta,1.0
green+blue,green,blue,cyan,21.266666666666666
green+blue,green,blue,white,1.0
blue+red,blue,red,black,1.0
blue+red,blue,red,red,1.0
blue+red,blue,red,green,1.0
blue+red,blue,red,blue,1.0
blue+red,blue,red,yellow,1.0
blue+red,blue,red,magenta,23.833333333333332
blue+red,blue,red,cyan,1.0
blue+red,blue,red,white,1.0
blue+green,blue,green,black,1.0
blue+green,blue,green,red,1.0
blue+green,blue,green,green,1.0
blue+green,blue,green,blue,1.0
blue+green,blue,green,yellow,1.0
blue+green,blue,green,magenta,1.0
blue+green,blue,green,cyan,20.433333333333334
blue+green,blue,green,white,1.0
blue+blue,blue,blue,black,29.266666666666666
blue+blue,blue,blue,red,1.0
blue+blue,blue,blue,green,1.0
blue+blue,blue,blue,blue,1.0
blue+blue,blue,blue,yellow,1.0
blue+blue,blue,blue,magenta,1.0
blue+blue,blue,blue,cyan,1.0
blue+blue,blue,blue,white,1.0
yellow+red,yellow,red,black,17.533333333333335
yellow+red,yellow,red,red,1.0
yellow+red,yellow,red,green,1.0
yellow+red,yellow,red,blue,1.0
yellow+red,yellow,red,yellow,1.0
yellow+red,yellow,red,magenta,1.0
yellow+red,yellow,red,cyan,1.0
yellow+red,yellow,red,white,1.0
yellow+green,yellow,green,black,18.266666666666666
yellow+green,yellow,green,red,1.0
yellow+green,yellow,green,green,1.0
yellow+green,yellow,green,blue,1.0
yellow+green,yellow,green,yellow,1.0
yellow+green,yellow,green,magenta,1.0
yellow+green,yellow,green,cyan,1.0
yellow+green,yellow,green,white,1.0
yellow+blue,yellow,blue,black,1.0
yellow+blue,yellow,blue,red,1.0
yellow+blue,yellow,blue,green,1.0
yellow+blue,yellow,blue,blue,1.0
yellow+blue,yellow,blue,yellow,1.0
yellow+blue,yellow,blue,magenta,1.0
yellow+blue,yellow,blue,cyan,1.0
yellow+blue,yellow,blue,white,1780.0333333333333
magenta+red,magenta,red,black,16.4
magenta+red,magenta,red,red,1.0
magenta+red,magenta,red,green,1.0
magenta+red,magenta,red,blue,1.0
magenta+red,magenta,red,yellow,1.0
magenta+red,magenta,red,magenta,1.0
magenta+red,magenta,red,cyan,1.0
magenta+red,magenta,red,white,1.0
magenta+green,magenta,green,black,1.0
magenta+green,magenta,green,red,1.0
magenta+green,magenta,green,green,1.0
magenta+green,magenta,green,blue,1.0
magenta+green,magenta,green,yellow,1.0
magenta+green,magenta,green,magenta,1.0
magenta+green,magenta,green,cyan,1.0
magenta+green,magenta,green,white,143.8
magenta+blue,magenta,blue,black,15.366666666666667
magenta+blue,magenta,blue,red,1.0
magenta+blue,magenta,blue,green,1.0
magenta+blue,magenta,blue,blue,1.0
magenta+blue,magenta,blue,yellow,1.0
magenta+blue,magenta,blue,magenta,1.0
magenta+blue,magenta,blue,cyan,1.0
magenta+blue,magenta,blue,white,1.0
cyan+red,cyan,red,black,1.0
cyan+red,cyan,red,red,1.0
cyan+red,cyan,red,green,1.0
cyan+red,cyan,red,blue,1.0
cyan+red,cyan,red,yellow,1.0
cyan+red,cyan,red,magenta,1.0
cyan+red,cyan,red,cyan,1.0
cyan+red,cyan,red,white,8.766666666666667
cyan+green,cyan,green,black,16.133333333333333
cyan+green,cyan,green,red,1.0
cyan+green,cyan,green,green,1.0
cyan+green,cyan,green,blue,1.0
cyan+green,cyan,green,yellow,1.0
cyan+green,cyan,green,magenta,1.0
cyan+green,cyan,green,cyan,1.0
cyan+green,cyan,green,white,1.0
cyan+blue,cyan,blue,black,15.533333333333333
cyan+blue,cyan,blue,red,1.0
cyan+blue,cyan,blue,green,1.0
cyan+blue,cyan,blue,blue,1.0
cyan+blue,cyan,blue,yellow,1.0
cyan+blue,cyan,blue,magenta,1.0
cyan+blue,cyan,blue,cyan,1.0
cyan+blue,cyan,blue,white,1.0
white+red,white,red,black,1.0
white+red,white,red,red,1.0
white+red,white,red,green,1.0
white+red,white,red,blue,1.0
white+red,white,red,yellow,1.0
white+red,white,red,magenta,1.0
white+red,white,red,cyan,1.0
white+red,white,red,white,1.0
white+green,white,green,black,1.0
white+green,white,green,red,1.0
white+green,white,green,green,1.0
white+green,white,green,blue,1.0
white+green,white,green,yellow,1.0
white+green,white,green,magenta,1.0
white+green,white,green,cyan,1.0
white+green,white,green,white,1.0
white+blue,white,blue,black,1.0
white+blue,white,blue,red,1.0
white+blue,white,blue,green,1.0
white+blue,white,blue,blue,1.0
white+blue,white,blue,yellow,1.0
white+blue,white,blue,magenta,1.0
white+blue,white,blue,cyan,1.0
white+blue,white,blue,white,1.0
